"filename", "language", "JSON", "Markdown", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "JSON Lines", "comment", "blank", "total"
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\prosody\removeNotation.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 1, 6, 28
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\prosody\removeProsody.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\prosody\repairSyllables.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\prosody\segmentIPA.jsx", "JavaScript JSX", 0, 0, 27, 0, 0, 0, 0, 5, 11, 43
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\prosody\syllabify.jsx", "JavaScript JSX", 0, 0, 53, 0, 0, 0, 0, 12, 18, 83
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\removeNotation.js", "JavaScript", 0, 0, 0, -21, 0, 0, 0, -1, -6, -28
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\removeProsody.jsx", "JavaScript JSX", 0, 0, -8, 0, 0, 0, 0, 0, -1, -9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\semanticShift.jsx", "JavaScript JSX", 0, 0, -38582, 0, 0, 0, 0, 3, 12, -38567
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\soundChange.jsx", "JavaScript JSX", 0, 0, 236, 0, 0, 0, 0, 73, 91, 400
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\createLanguage.jsx", "JavaScript JSX", 0, 0, 751, 0, 0, 0, 0, 98, 83, 932
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\devTools.jsx", "JavaScript JSX", 0, 0, 917, 0, 0, 0, 0, 8, 124, 1049
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\dictionary.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
